sample-id,Sample,Site,Latitude/Longitude,ST,STT,Crop,SC,pH,OM,TN,H2O%,TP,AK,TK,AP,NH4+-N,NO3--N,Abundance,PD,PN
SRR6872706,S12,Shamenzi,44°55′N/85°18′E,COaC,SS,CO,4.57,7.86,3.86,0.25,9.56,0.61,116.54,21.31,4.4,5.24,12.98,2.16×106,195,944
SRR6872707,S26,Shanghugou,44°09′N/88°40′E,CoA,SLS,LI,6.92,8.41,10.7,0.85,11.64,0.82,259.82,18.89,10.78,5.4,93.09,3.36×106,191,1007
SRR6872708,S26,Shanghugou,44°09′N/88°40′E,CoA,SLS,LI,6.92,8.41,10.7,0.85,11.64,0.82,259.82,18.89,10.78,5.4,93.09,3.36×106,191,1007
SRR6872709,S25,Ziniquanzi,44°13′N/88°28′E,HoA,SS,WH,10.85,7.49,14.3,0.84,14.39,1.17,459.41,19.46,103.32,6.75,60.85,6.92×106,158,765
SRR6872710,S25,Ziniquanzi,44°13′N/88°28′E,HoA,SS,WH,10.85,7.49,14.3,0.84,14.39,1.17,459.41,19.46,103.32,6.75,60.85,6.92×106,158,765
SRR6872711,S25,Ziniquanzi,44°13′N/88°28′E,HoA,SS,WH,10.85,7.49,14.3,0.84,14.39,1.17,459.41,19.46,103.32,6.75,60.85,6.92×106,158,765
SRR6872712,S25,Ziniquanzi,44°13′N/88°28′E,HoA,SS,WH,10.85,7.49,14.3,0.84,14.39,1.17,459.41,19.46,103.32,6.75,60.85,6.92×106,158,765
SRR6872713,S24,Tudunzi,44°11′N/88°17′E,HoA,SLS,WH,11.59,7.12,25.08,1.34,19.1,1.17,443.92,18.62,23.58,7.86,19.16,1.07×107,184,945
SRR6872714,S24,Tudunzi,44°11′N/88°17′E,HoA,SLS,WH,11.59,7.12,25.08,1.34,19.1,1.17,443.92,18.62,23.58,7.86,19.16,1.07×107,184,945
SRR6872715,S24,Tudunzi,44°11′N/88°17′E,HoA,SLS,WH,11.59,7.12,25.08,1.34,19.1,1.17,443.92,18.62,23.58,7.86,19.16,1.07×107,184,945
SRR6872716,S24,Tudunzi,44°11′N/88°17′E,HoA,SLS,WH,11.59,7.12,25.08,1.34,19.1,1.17,443.92,18.62,23.58,7.86,19.16,1.07×107,184,945
SRR6872717,S29,Sichanghu,44°18′N/88°59′E,TAoH,SS,WH,11.06,8.23,8.44,0.44,12.41,0.85,282.11,16.2,21.93,6.21,33.64,6.62×106,174,924
SRR6872718,S29,Sichanghu,44°18′N/88°59′E,TAoH,SS,WH,11.06,8.23,8.44,0.44,12.41,0.85,282.11,16.2,21.93,6.21,33.64,6.62×106,174,924
SRR6872719,S29,Sichanghu,44°18′N/88°59′E,TAoH,SS,WH,11.06,8.23,8.44,0.44,12.41,0.85,282.11,16.2,21.93,6.21,33.64,6.62×106,174,924
SRR6872720,S29,Sichanghu,44°18′N/88°59′E,TAoH,SS,WH,11.06,8.23,8.44,0.44,12.41,0.85,282.11,16.2,21.93,6.21,33.64,6.62×106,174,924
SRR6872721,S2,Yuanhu,44°14′N/86°54′E,POaC,LS,WH,8.53,7.83,7.07,0.5,15.34,0.72,260.65,20.14,4.53,8.67,11.5,6.40×106,186,967
SRR6872722,S2,Yuanhu,44°14′N/86°54′E,POaC,LS,WH,8.53,7.83,7.07,0.5,15.34,0.72,260.65,20.14,4.53,8.67,11.5,6.40×106,186,967
SRR6872723,S2,Yuanhu,44°14′N/86°54′E,POaC,LS,WH,8.53,7.83,7.07,0.5,15.34,0.72,260.65,20.14,4.53,8.67,11.5,6.40×106,186,967
SRR6872724,S2,Yuanhu,44°14′N/86°54′E,POaC,LS,WH,8.53,7.83,7.07,0.5,15.34,0.72,260.65,20.14,4.53,8.67,11.5,6.40×106,186,967
SRR6872725,S30,Shanghutang,44°12′N/88°54′E,TAoH,SLS,WH,13.63,7.74,15.88,0.75,16.67,1.16,450.92,18.18,31.47,5.73,58.76,9.95×106,194,985
SRR6872726,S30,Shanghutang,44°12′N/88°54′E,TAoH,SLS,WH,13.63,7.74,15.88,0.75,16.67,1.16,450.92,18.18,31.47,5.73,58.76,9.95×106,194,985
SRR6872727,S28,Jimusaer,44°08′N/89°11′E,POaC,SLS,WH,15.59,7.96,14.65,0.71,16.93,0.95,501.2,17.42,30.91,7.28,48.08,9.73×106,201,1016
SRR6872728,S28,Jimusaer,44°08′N/89°11′E,POaC,SLS,WH,15.59,7.96,14.65,0.71,16.93,0.95,501.2,17.42,30.91,7.28,48.08,9.73×106,201,1016
SRR6872729,S28,Jimusaer,44°08′N/89°11′E,POaC,SLS,WH,15.59,7.96,14.65,0.71,16.93,0.95,501.2,17.42,30.91,7.28,48.08,9.73×106,201,1016
SRR6872730,S28,Jimusaer,44°08′N/89°11′E,POaC,SLS,WH,15.59,7.96,14.65,0.71,16.93,0.95,501.2,17.42,30.91,7.28,48.08,9.73×106,201,1016
SRR6872731,S27,Xipochengzi,44°05′N/89°10′E,POaC,SS,CW,22.83,8.19,18.14,0.86,19.74,1.02,622.05,16.94,16.61,5.63,11.93,1.33×107,209,1033
SRR6872732,S27,Xipochengzi,44°05′N/89°10′E,POaC,SS,CW,22.83,8.19,18.14,0.86,19.74,1.02,622.05,16.94,16.61,5.63,11.93,1.33×107,209,1033
SRR6872733,S27,Xipochengzi,44°05′N/89°10′E,POaC,SS,CW,22.83,8.19,18.14,0.86,19.74,1.02,622.05,16.94,16.61,5.63,11.93,1.33×107,209,1033
SRR6872734,S27,Xipochengzi,44°05′N/89°10′E,POaC,SS,CW,22.83,8.19,18.14,0.86,19.74,1.02,622.05,16.94,16.61,5.63,11.93,1.33×107,209,1033
SRR6872735,S26,Shanghugou,44°09′N/88°40′E,CoA,SLS,LI,6.92,8.41,10.7,0.85,11.64,0.82,259.82,18.89,10.78,5.4,93.09,3.36×106,191,1007
SRR6872736,S26,Shanghugou,44°09′N/88°40′E,CoA,SLS,LI,6.92,8.41,10.7,0.85,11.64,0.82,259.82,18.89,10.78,5.4,93.09,3.36×106,191,1007
SRR6872737,S30,Shanghutang,44°12′N/88°54′E,TAoH,SLS,WH,13.63,7.74,15.88,0.75,16.67,1.16,450.92,18.18,31.47,5.73,58.76,9.95×106,194,985
SRR6872738,S31,Santai,44°13′N/88°48′E,OaC,SS,OS,7.92,8.05,13.42,0.82,14.03,0.97,688.64,18.94,33.07,5.61,41.32,7.48×106,210,1143
SRR6872739,S31,Santai,44°13′N/88°48′E,OaC,SS,OS,7.92,8.05,13.42,0.82,14.03,0.97,688.64,18.94,33.07,5.61,41.32,7.48×106,210,1143
SRR6872740,S13,Taohua,44°39′N/85°06′E,CAoH,SS,CO,16.08,8.31,4.72,0.37,13.23,0.75,390.99,21.76,5.91,6.23,60.86,4.47×106,211,1065
SRR6872741,S13,Taohua,44°39′N/85°06′E,CAoH,SS,CO,16.08,8.31,4.72,0.37,13.23,0.75,390.99,21.76,5.91,6.23,60.86,4.47×106,211,1065
SRR6872742,S14,Corps128,45°02′N/84°37′E,COaC,SS,CO,3.74,8.0,8.08,0.46,11.08,0.74,320.29,21.38,10.1,6.29,32.62,6.71×106,214,1120
SRR6872743,S14,Corps128,45°02′N/84°37′E,COaC,SS,CO,3.74,8.0,8.08,0.46,11.08,0.74,320.29,21.38,10.1,6.29,32.62,6.71×106,214,1120
SRR6872744,S12,Shamenzi,44°55′N/85°18′E,COaC,SS,CO,4.57,7.86,3.86,0.25,9.56,0.61,116.54,21.31,4.4,5.24,12.98,2.16×106,195,944
SRR6872745,S12,Shamenzi,44°55′N/85°18′E,COaC,SS,CO,4.57,7.86,3.86,0.25,9.56,0.61,116.54,21.31,4.4,5.24,12.98,2.16×106,195,944
SRR6872746,S13,Taohua,44°39′N/85°06′E,CAoH,SS,CO,16.08,8.31,4.72,0.37,13.23,0.75,390.99,21.76,5.91,6.23,60.86,4.47×106,211,1065
SRR6872747,S13,Taohua,44°39′N/85°06′E,CAoH,SS,CO,16.08,8.31,4.72,0.37,13.23,0.75,390.99,21.76,5.91,6.23,60.86,4.47×106,211,1065
SRR6872748,S14,Corps128,45°02′N/84°37′E,COaC,SS,CO,3.74,8.0,8.08,0.46,11.08,0.74,320.29,21.38,10.1,6.29,32.62,6.71×106,214,1120
SRR6872749,S14,Corps128,45°02′N/84°37′E,COaC,SS,CO,3.74,8.0,8.08,0.46,11.08,0.74,320.29,21.38,10.1,6.29,32.62,6.71×106,214,1120
SRR6872750,S3,Corps111,44°27′N/86°55′E,HoA,SLS,WH,20.58,7.81,6.94,0.5,9.71,0.93,600.26,19.36,13.64,8.13,50.93,4.81×106,170,890
SRR6872751,S3,Corps111,44°27′N/86°55′E,HoA,SLS,WH,20.58,7.81,6.94,0.5,9.71,0.93,600.26,19.36,13.64,8.13,50.93,4.81×106,170,890
SRR6872752,S31,Santai,44°13′N/88°48′E,OaC,SS,OS,7.92,8.05,13.42,0.82,14.03,0.97,688.64,18.94,33.07,5.61,41.32,7.48×106,210,1143
SRR6872753,S31,Santai,44°13′N/88°48′E,OaC,SS,OS,7.92,8.05,13.42,0.82,14.03,0.97,688.64,18.94,33.07,5.61,41.32,7.48×106,210,1143
SRR6872754,S3,Corps111,44°27′N/86°55′E,HoA,SLS,WH,20.58,7.81,6.94,0.5,9.71,0.93,600.26,19.36,13.64,8.13,50.93,4.81×106,170,890
SRR6872755,S3,Corps111,44°27′N/86°55′E,HoA,SLS,WH,20.58,7.81,6.94,0.5,9.71,0.93,600.26,19.36,13.64,8.13,50.93,4.81×106,170,890
SRR6872756,S9,Liumaowan,44°37′N/88°55′E,POaC,SLS,CO,1.72,8.92,4.01,0.25,8.61,0.54,231.64,21.02,26.51,5.84,17.24,1.97×106,204,1072
SRR6872757,S9,Liumaowan,44°37′N/88°55′E,POaC,SLS,CO,1.72,8.92,4.01,0.25,8.61,0.54,231.64,21.02,26.51,5.84,17.24,1.97×106,204,1072
SRR6872758,S9,Liumaowan,44°37′N/88°55′E,POaC,SLS,CO,1.72,8.92,4.01,0.25,8.61,0.54,231.64,21.02,26.51,5.84,17.24,1.97×106,204,1072
SRR6872759,S9,Liumaowan,44°37′N/88°55′E,POaC,SLS,CO,1.72,8.92,4.01,0.25,8.61,0.54,231.64,21.02,26.51,5.84,17.24,1.97×106,204,1072
SRR6872760,S15,Corps123,45°00′N/84°29′E,COaC,SLS,CW,17.99,7.88,6.41,0.39,14.78,0.74,483.25,19.1,13.04,6.17,61.29,3.60×106,191,959
SRR6872761,S15,Corps123,45°00′N/84°29′E,COaC,SLS,CW,17.99,7.88,6.41,0.39,14.78,0.74,483.25,19.1,13.04,6.17,61.29,3.60×106,191,959
SRR6872762,S15,Corps123,45°00′N/84°29′E,COaC,SLS,CW,17.99,7.88,6.41,0.39,14.78,0.74,483.25,19.1,13.04,6.17,61.29,3.60×106,191,959
SRR6872763,S15,Corps123,45°00′N/84°29′E,COaC,SLS,CW,17.99,7.88,6.41,0.39,14.78,0.74,483.25,19.1,13.04,6.17,61.29,3.60×106,191,959
SRR6872764,S16,Corps126,45°03′N/84°13′E,POaC,SLS,CO,14.47,7.91,5.59,0.33,14.75,0.68,282.43,20.0,4.28,5.84,21.29,3.40×106,191,929
SRR6872765,S16,Corps126,45°03′N/84°13′E,POaC,SLS,CO,14.47,7.91,5.59,0.33,14.75,0.68,282.43,20.0,4.28,5.84,21.29,3.40×106,191,929
SRR6872766,S16,Corps126,45°03′N/84°13′E,POaC,SLS,CO,14.47,7.91,5.59,0.33,14.75,0.68,282.43,20.0,4.28,5.84,21.29,3.40×106,191,929
SRR6872767,S16,Corps126,45°03′N/84°13′E,POaC,SLS,CO,14.47,7.91,5.59,0.33,14.75,0.68,282.43,20.0,4.28,5.84,21.29,3.40×106,191,929
SRR6872768,S17,Hongxin,45°00′N/84°41′E,HoA,SS,CW,6.22,9.51,4.7,0.35,9.76,0.58,210.2,22.42,5.46,5.42,16.52,1.51×106,175,913
SRR6872769,S17,Hongxin,45°00′N/84°41′E,HoA,SS,CW,6.22,9.51,4.7,0.35,9.76,0.58,210.2,22.42,5.46,5.42,16.52,1.51×106,175,913
SRR6872770,S18,Corps134,44°39′N/85°22′E,HoA,SS,CO,12.98,8.48,9.85,0.54,16.21,0.74,401.53,21.39,9.65,5.98,14.78,3.25×106,189,975
SRR6872771,S18,Corps134,44°39′N/85°22′E,HoA,SS,CO,12.98,8.48,9.85,0.54,16.21,0.74,401.53,21.39,9.65,5.98,14.78,3.25×106,189,975
SRR6872772,S17,Hongxin,45°00′N/84°41′E,HoA,SS,CW,6.22,9.51,4.7,0.35,9.76,0.58,210.2,22.42,5.46,5.42,16.52,1.51×106,175,913
SRR6872773,S17,Hongxin,45°00′N/84°41′E,HoA,SS,CW,6.22,9.51,4.7,0.35,9.76,0.58,210.2,22.42,5.46,5.42,16.52,1.51×106,175,913
SRR6872774,S19,Corps142,44°28′N/85°23′E,POaC,SLS,WH,18.49,8.84,10.31,0.59,17.42,0.88,312.66,21.35,55.49,7.05,51.24,5.76×106,134,649
SRR6872775,S19,Corps142,44°28′N/85°23′E,POaC,SLS,WH,18.49,8.84,10.31,0.59,17.42,0.88,312.66,21.35,55.49,7.05,51.24,5.76×106,134,649
SRR6872776,S18,Corps134,44°39′N/85°22′E,HoA,SS,CO,12.98,8.48,9.85,0.54,16.21,0.74,401.53,21.39,9.65,5.98,14.78,3.25×106,189,975
SRR6872777,S18,Corps134,44°39′N/85°22′E,HoA,SS,CO,12.98,8.48,9.85,0.54,16.21,0.74,401.53,21.39,9.65,5.98,14.78,3.25×106,189,975
SRR6872778,S19,Corps142,44°28′N/85°23′E,POaC,SLS,WH,18.49,8.84,10.31,0.59,17.42,0.88,312.66,21.35,55.49,7.05,51.24,5.76×106,134,649
SRR6872779,S19,Corps142,44°28′N/85°23′E,POaC,SLS,WH,18.49,8.84,10.31,0.59,17.42,0.88,312.66,21.35,55.49,7.05,51.24,5.76×106,134,649
SRR6872780,S30,Shanghutang,44°12′N/88°54′E,TAoH,SLS,WH,13.63,7.74,15.88,0.75,16.67,1.16,450.92,18.18,31.47,5.73,58.76,9.95×106,194,985
